200 	 216 	 216 	 0.714
201 	 265 	 265 	 0.700
202 	 85 	 85 	 0.674
203 	 342 	 342 	 0.674
204 	 189 	 189 	 0.666
205 	 382 	 382 	 0.665
206 	 42 	 42 	 0.663
207 	 255 	 255 	 0.640
208 	 301 	 301 	 0.639
209 	 315 	 315 	 0.630
210 	 135 	 135 	 0.627
211 	 204 	 204 	 0.625
212 	 19 	 19 	 0.620
213 	 349 	 349 	 0.621
214 	 223 	 223 	 0.605
215 	 109 	 109 	 0.607
216 	 95 	 95 	 0.577
217 	 277 	 277 	 0.575
218 	 322 	 322 	 0.567
219 	 21 	 21 	 0.563
220 	 329 	 329 	 0.554
221 	 141 	 141 	 0.543
222 	 340 	 340 	 0.531
223 	 386 	 386 	 0.528
224 	 238 	 238 	 0.522
225 	 332 	 332 	 0.517
226 	 17 	 17 	 0.514
227 	 347 	 347 	 0.512
228 	 14 	 14 	 0.511
229 	 107 	 107 	 0.500
230 	 226 	 226 	 0.501
231 	 106 	 106 	 0.498
232 	 147 	 147 	 0.490
233 	 4 	 4 	 0.491
234 	 179 	 179 	 0.485
235 	 2 	 2 	 0.484
236 	 104 	 104 	 0.469
237 	 271 	 271 	 0.468
238 	 197 	 197 	 0.459
239 	 58 	 58 	 0.456
240 	 379 	 379 	 0.451
241 	 289 	 289 	 0.443
242 	 341 	 341 	 0.436
243 	 34 	 34 	 0.433
244 	 362 	 362 	 0.421
245 	 299 	 299 	 0.409
246 	 47 	 47 	 0.395
247 	 87 	 87 	 0.387
248 	 27 	 27 	 0.383
249 	 82 	 82 	 0.384
250 	 294 	 294 	 0.378
251 	 361 	 361 	 0.377
252 	 133 	 133 	 0.375
253 	 380 	 380 	 0.369
254 	 168 	 168 	 0.366
255 	 323 	 323 	 0.366
256 	 51 	 51 	 0.360
257 	 305 	 305 	 0.360
258 	 39 	 39 	 0.357
259 	 162 	 162 	 0.356
260 	 297 	 297 	 0.354
261 	 25 	 25 	 0.335
262 	 127 	 127 	 0.335
263 	 124 	 124 	 0.325
264 	 54 	 54 	 0.323
265 	 366 	 366 	 0.302
266 	 110 	 110 	 0.299
267 	 343 	 343 	 0.300
268 	 118 	 118 	 0.298
269 	 363 	 363 	 0.296
270 	 327 	 327 	 0.287
271 	 302 	 302 	 0.283
272 	 178 	 178 	 0.277
273 	 282 	 282 	 0.273
274 	 272 	 272 	 0.258
275 	 303 	 303 	 0.256
276 	 365 	 365 	 0.249
277 	 356 	 356 	 0.247
278 	 38 	 38 	 0.245
279 	 108 	 108 	 0.239
280 	 160 	 160 	 0.234
281 	 319 	 319 	 0.226
282 	 304 	 304 	 0.223
283 	 219 	 219 	 0.220
284 	 360 	 360 	 0.216
285 	 339 	 339 	 0.215
286 	 209 	 209 	 0.211
287 	 203 	 203 	 0.208
288 	 257 	 257 	 0.208
289 	 355 	 355 	 0.207
290 	 182 	 182 	 0.205
291 	 172 	 172 	 0.202
292 	 213 	 213 	 0.201
