133 	 534 	 534 	 5.985
134 	 1079 	 1079 	 5.982
135 	 677 	 677 	 5.977
136 	 444 	 444 	 5.968
137 	 361 	 361 	 5.977
138 	 374 	 374 	 5.971
139 	 75 	 75 	 5.932
140 	 1086 	 1086 	 5.957
141 	 808 	 808 	 5.955
142 	 936 	 936 	 5.918
143 	 699 	 699 	 5.907
144 	 899 	 899 	 5.864
145 	 118 	 118 	 5.899
146 	 820 	 820 	 5.891
147 	 532 	 532 	 5.808
148 	 587 	 587 	 5.822
149 	 331 	 331 	 5.781
150 	 340 	 340 	 5.789
151 	 907 	 907 	 5.786
152 	 656 	 656 	 5.728
153 	 527 	 527 	 5.707
154 	 115 	 115 	 5.733
155 	 566 	 566 	 5.704
156 	 643 	 643 	 5.720
157 	 546 	 546 	 5.675
158 	 375 	 375 	 5.708
159 	 930 	 930 	 5.700
160 	 327 	 327 	 5.656
161 	 400 	 400 	 5.677
162 	 164 	 164 	 5.689
163 	 169 	 169 	 5.658
164 	 4 	 4 	 5.673
165 	 445 	 445 	 5.535
166 	 569 	 569 	 5.469
167 	 941 	 941 	 5.476
168 	 1017 	 1017 	 5.494
169 	 888 	 888 	 5.444
170 	 772 	 772 	 5.456
171 	 462 	 462 	 5.464
172 	 837 	 837 	 5.413
173 	 24 	 24 	 5.417
174 	 213 	 213 	 5.422
175 	 972 	 972 	 5.425
176 	 593 	 593 	 5.388
177 	 854 	 854 	 5.360
178 	 651 	 651 	 5.370
179 	 454 	 454 	 5.319
180 	 835 	 835 	 5.266
181 	 838 	 838 	 5.258
182 	 198 	 198 	 5.248
183 	 561 	 561 	 5.272
184 	 1024 	 1024 	 5.293
185 	 999 	 999 	 5.242
186 	 203 	 203 	 5.239
187 	 429 	 429 	 5.232
188 	 382 	 382 	 5.249
189 	 1083 	 1083 	 5.256
190 	 570 	 570 	 5.245
191 	 678 	 678 	 5.209
192 	 773 	 773 	 5.179
193 	 395 	 395 	 5.160
194 	 596 	 596 	 5.094
195 	 986 	 986 	 5.098
196 	 217 	 217 	 5.061
197 	 1021 	 1021 	 5.079
198 	 732 	 732 	 5.018
199 	 950 	 950 	 5.032
200 	 109 	 109 	 5.008
201 	 568 	 568 	 5.022
202 	 523 	 523 	 5.015
203 	 193 	 193 	 4.997
204 	 852 	 852 	 4.982
205 	 26 	 26 	 4.952
206 	 76 	 76 	 4.936
207 	 697 	 697 	 4.950
208 	 105 	 105 	 4.954
209 	 662 	 662 	 4.962
210 	 491 	 491 	 4.944
211 	 1013 	 1013 	 4.936
212 	 649 	 649 	 4.899
213 	 378 	 378 	 4.802
214 	 323 	 323 	 4.800
215 	 648 	 648 	 4.773
216 	 862 	 862 	 4.772
217 	 287 	 287 	 4.756
218 	 1073 	 1073 	 4.771
219 	 676 	 676 	 4.757
220 	 931 	 931 	 4.758
221 	 350 	 350 	 4.743
222 	 339 	 339 	 4.752
223 	 347 	 347 	 4.761
224 	 202 	 202 	 4.761
225 	 752 	 752 	 4.775
226 	 345 	 345 	 4.726
227 	 646 	 646 	 4.730
228 	 315 	 315 	 4.720
229 	 764 	 764 	 4.713
230 	 383 	 383 	 4.703
231 	 13 	 13 	 4.712
232 	 529 	 529 	 4.670
233 	 94 	 94 	 4.646
234 	 1056 	 1056 	 4.631
235 	 530 	 530 	 4.637
236 	 932 	 932 	 4.646
237 	 412 	 412 	 4.658
238 	 778 	 778 	 4.676
239 	 62 	 62 	 4.684
240 	 1022 	 1022 	 4.685
241 	 669 	 669 	 4.666
242 	 194 	 194 	 4.670
243 	 370 	 370 	 4.671
244 	 313 	 313 	 4.628
245 	 64 	 64 	 4.623
246 	 300 	 300 	 4.597
247 	 675 	 675 	 4.565
248 	 1047 	 1047 	 4.575
249 	 756 	 756 	 4.531
250 	 781 	 781 	 4.511
251 	 717 	 717 	 4.476
252 	 882 	 882 	 4.437
253 	 1011 	 1011 	 4.441
254 	 292 	 292 	 4.415
255 	 961 	 961 	 4.426
256 	 747 	 747 	 4.369
257 	 639 	 639 	 4.376
258 	 647 	 647 	 4.359
259 	 304 	 304 	 4.343
260 	 832 	 832 	 4.333
261 	 152 	 152 	 4.300
262 	 920 	 920 	 4.308
263 	 664 	 664 	 4.314
264 	 85 	 85 	 4.328
265 	 521 	 521 	 4.328
266 	 458 	 458 	 4.330
267 	 205 	 205 	 4.306
268 	 565 	 565 	 4.272
269 	 214 	 214 	 4.256
270 	 705 	 705 	 4.238
271 	 368 	 368 	 4.228
272 	 810 	 810 	 4.213
273 	 745 	 745 	 4.221
274 	 598 	 598 	 4.209
275 	 379 	 379 	 4.211
276 	 1 	 1 	 4.178
277 	 650 	 650 	 4.146
278 	 182 	 182 	 4.116
279 	 661 	 661 	 4.093
280 	 680 	 680 	 4.098
281 	 314 	 314 	 4.094
282 	 16 	 16 	 4.095
283 	 59 	 59 	 4.068
284 	 143 	 143 	 4.076
285 	 161 	 161 	 4.063
286 	 851 	 851 	 4.069
287 	 880 	 880 	 4.074
288 	 42 	 42 	 4.074
289 	 698 	 698 	 4.067
290 	 204 	 204 	 4.030
291 	 749 	 749 	 4.018
292 	 974 	 974 	 4.019
293 	 170 	 170 	 4.017
294 	 134 	 134 	 4.020
295 	 183 	 183 	 3.988
296 	 298 	 298 	 3.995
297 	 767 	 767 	 3.981
298 	 2 	 2 	 3.983
299 	 179 	 179 	 3.958
300 	 846 	 846 	 3.957
301 	 993 	 993 	 3.963
302 	 840 	 840 	 3.944
303 	 597 	 597 	 3.948
304 	 957 	 957 	 3.935
305 	 131 	 131 	 3.924
306 	 208 	 208 	 3.901
307 	 606 	 606 	 3.865
308 	 319 	 319 	 3.833
309 	 485 	 485 	 3.843
310 	 465 	 465 	 3.817
311 	 99 	 99 	 3.825
312 	 126 	 126 	 3.834
313 	 883 	 883 	 3.813
314 	 850 	 850 	 3.819
315 	 721 	 721 	 3.819
316 	 1009 	 1009 	 3.829
317 	 1075 	 1075 	 3.798
318 	 254 	 254 	 3.785
319 	 484 	 484 	 3.770
320 	 12 	 12 	 3.729
321 	 1035 	 1035 	 3.732
322 	 755 	 755 	 3.716
323 	 960 	 960 	 3.709
324 	 195 	 195 	 3.704
325 	 448 	 448 	 3.689
326 	 114 	 114 	 3.685
327 	 192 	 192 	 3.677
